contributor,category,r2,mae,pga,ctd_100,ctd_200,ctd_300,flag_300,n_activities,frequency,seasonality,data_points
vc-ci,bot,-1.0517996618455254,1.4378801971155633,0.9248210023866349,141,503,577,1,299,20T,72.0,427
violinist-bot,bot,-0.564436288136051,2.3269048515312223,0.8943488943488943,54,166,222,1,295,30T,48.0,344
vmwclabot,bot,-0.7239546413655615,1.266377771174823,0.8873239436619719,216,311,440,1,297,H,24.0,553
vscode-issue-tracker-bot,bot,1.0,5.907125229000431e-40,0.5425709515859767,0,0,0,1,300,30T,48.0,600
vtex-io-ci-cd[bot],bot,0.05974558879563474,1.0901171674737653,0.8337182448036952,-94,-52,37,1,297,H,24.0,527
vtex-io-docs-bot[bot],bot,-0.22937754891563622,0.8954082359373725,0.8573127229488704,176,202,415,1,300,2H,12.0,504
welcome[bot],bot,-0.3643268703798288,1.096062550964195,0.20596205962059622,-260,-142,-11,-1,290,20T,72.0,389
wet-boew-bot,bot,0.027868951223303684,1.6775111873423487,0.8958333333333334,-15,19,57,1,300,4H,6.0,426
wso2-jenkins-bot,bot,-0.095885506122102,1.1006717032402686,0.8298850574712644,40,115,91,1,299,30T,48.0,376
335498,human,-86.8181589574858,9.569192284886167,0.9924657534246575,537,647,1290,1,297,30T,48.0,335
335745,human,-3.2756476307811484,9.088227956149938,0.9774011299435028,19,31,292,1,294,3H,8.0,448
353444,human,-0.7113601090122865,1.047218948126595,0.9385425812115891,107,507,768,1,299,2H,12.0,506
355383,human,0.06697436550877256,0.9583346081097281,0.5420560747663551,-192,-202,-33,-1,279,2H,12.0,481
359854,human,-17.437479921185513,6.611224196186621,0.9324618736383442,7,108,330,1,298,H,24.0,435
364686,human,0.04745049318037131,0.8228845633088742,0.7895927601809954,-38,-13,-1,-1,300,30T,48.0,551
367939,human,0.02755894997528474,1.2836424078603752,0.8350785340314136,65,56,79,1,300,H,24.0,476
368375,human,-0.33393969824295144,2.05718321820508,0.8598130841121495,2,81,128,1,299,20T,72.0,360
373769,human,-0.8767255336358506,2.8112208173341187,0.9502407704654896,-5,166,396,1,277,3H,8.0,439
374774,human,-0.15781013728392335,1.3816997804397353,0.8634361233480177,-22,72,177,1,298,H,24.0,386
376887,human,-0.0678706714416275,0.9795994489599875,0.5859269282814614,67,96,330,1,294,H,24.0,338
377538,human,-0.2956883999735844,1.722569195053991,0.11494252873563218,-182,-92,-22,-1,295,30T,48.0,333
377543,human,-2.762402410361454,2.3085445128556126,0.9447852760736196,128,329,484,1,299,3H,8.0,411
387658,human,0.011693023186207796,0.6593605083240054,0.3702970297029703,-5,-338,-1,-1,300,H,24.0,722
387854,human,0.12297552463538897,0.6282865921036916,0.6280623608017817,-1,-3,-1,-1,300,H,24.0,560
437693,human,-4.473441719484263,9.341320018380863,0.9454545454545454,21,61,102,1,275,30T,48.0,342
437766,human,-0.09482912099040952,0.8701388175707797,0.9041850220264317,152,210,452,1,300,H,24.0,834
438655,human,0.0229972365380281,2.0298951421120672,0.8408163265306122,0,15,24,1,296,4H,6.0,467
446498,human,-0.48289353439829563,0.8714310976460077,0.9261586802827966,149,492,826,1,300,30T,48.0,596
449544,human,-0.05283129589855573,1.2285716497066004,0.4273255813953488,-161,-47,-1,-1,299,3H,8.0,447
449583,human,0.05630314542626691,0.49757442897433646,0.3416666666666667,-481,-413,-28,-1,293,H,24.0,843
454496,human,0.05396407532904479,1.1522040590376779,0.8237986270022883,-24,42,107,1,297,H,24.0,549
454638,human,-18.004610971402528,10.675984278058444,0.9797979797979798,88,154,197,1,282,4H,6.0,394
455745,human,-0.35504793601529516,0.8812424858865456,0.8822916666666667,153,322,308,1,299,30T,48.0,434
456995,human,-1.3576049603697968,2.4054539897940233,0.9023809523809524,24,166,263,1,299,4H,6.0,379
459877,human,-2.0330344450330373,1.2663314231287846,0.9412639405204462,323,597,996,1,299,H,24.0,845
465566,human,-0.3522781350817197,0.5904903169162968,0.5996784565916399,277,647,608,1,299,30T,48.0,545
473965,human,-0.26350100479907446,0.8333978459696231,0.37653736991485337,149,242,424,1,298,30T,48.0,398
475849,human,-5.60028516677629,3.817352032029495,0.9552529182879378,141,262,418,1,299,3H,8.0,432
483648,human,-0.04119073517353411,0.9617627269969896,0.4330708661417323,-262,-113,-7,-1,297,4H,6.0,410
487355,human,-0.034550510902098264,0.9965886043125783,0.5694822888283378,-341,-232,-7,-1,299,3H,8.0,473
489848,human,-0.05199656617996484,1.8441470872826644,0.8660436137071651,37,131,128,1,300,3H,8.0,419
535599,human,-0.03260397365585388,0.8606609422074077,0.6624472573839663,-83,-134,-1,-1,300,3H,8.0,434
537443,human,0.032510084090149216,0.8235676116022078,0.3114406779661017,-290,-191,-1,-1,300,H,24.0,727
