contributor,category,r2,mae,pga,ctd_100,ctd_200,ctd_300,flag_300,n_activities,frequency,seasonality,data_points
437766,human,-0.0736803196649578,0.8464905672123676,0.9019823788546255,155,213,452,1,300,H,24.0,834
438655,human,0.00526858137038122,1.582105491497402,0.7918367346938775,-60,-76,-1,-1,296,4H,6.0,467
446498,human,-0.47251753896272075,0.8485731143666515,0.9261586802827966,148,487,820,1,300,30T,48.0,596
449544,human,-0.049481010320715946,1.2545242984560712,0.38372093023255816,-161,-47,-1,-1,299,3H,8.0,447
449583,human,0.08381522888310233,0.5352244799068094,0.8854166666666666,70,19,146,1,293,H,24.0,843
454496,human,0.05873175780546136,1.097248762941215,0.8237986270022883,-28,24,76,1,297,H,24.0,549
454638,human,-5.632977216788103,6.587315976309943,0.9562289562289562,90,158,201,1,282,4H,6.0,394
455745,human,-4.564821149260311,2.6589412469059255,0.08333333333333333,-683,-395,-272,-1,299,30T,48.0,434
456995,human,-0.0470352218185488,1.2850808870980324,0.8476190476190476,12,130,191,1,299,4H,6.0,379
459877,human,-0.30494729004334475,0.6326690247956602,0.9063197026022305,258,455,778,1,299,H,24.0,845
465566,human,-0.5002735570413539,0.6361439696583846,0.594855305466238,323,716,704,1,299,30T,48.0,545
473965,human,-0.15915771780258825,0.8234351602685117,0.4966887417218543,159,287,471,1,298,30T,48.0,398
475849,human,-7.626415236572662,4.411831605194279,0.9688715953307393,148,275,437,1,299,3H,8.0,432
483648,human,-0.35520012703453907,1.3759333070319673,0.13123359580052493,-262,-113,-7,-1,297,4H,6.0,410
487355,human,-0.019538900492992006,1.1350029128072852,0.7956403269754768,-175,-232,-7,-1,299,3H,8.0,473
489848,human,-0.04091385945009551,1.7917187519230242,0.8598130841121495,53,152,146,1,300,3H,8.0,419
535599,human,-0.13184532513830982,0.9252229514709467,0.37341772151898733,-367,-179,-1,-1,300,3H,8.0,434
537443,human,0.0738525799305696,0.8517226742561967,0.8305084745762712,-51,-97,-1,-1,300,H,24.0,727
543595,human,-1.3155114866954722,1.94966260602452,0.08663366336633663,-262,-118,-1,-1,300,H,24.0,385
549789,human,0.029990836837401336,1.7437606790348579,0.8689655172413793,115,57,3,1,296,H,24.0,670
553976,human,-0.8443303452613049,0.9490825423322798,0.08497316636851521,-812,-466,-1,-1,299,H,24.0,750
558473,human,0.07749260357926546,1.0181161435626982,0.8813559322033898,48,148,239,1,296,H,24.0,484
567384,human,-0.10477215060433998,1.3377136840533683,0.2318840579710145,-371,-252,-1,-1,300,H,24.0,359
567396,human,-0.018359351698083337,1.7687538968429546,0.8674351585014409,34,82,150,1,298,3H,8.0,438
567743,human,-0.02033186911457996,1.2905622467348024,0.30952380952380953,-300,-268,-126,-1,271,4H,6.0,431
576539,human,-0.2203178163640589,0.7955827111834082,0.3029513888888889,-854,-577,-4,-1,299,30T,48.0,529
578794,human,0.09568970580559633,1.1394251177413632,0.7492063492063492,-45,-43,-3,-1,297,4H,6.0,468
579369,human,-55.85899319120594,18.01959463471317,0.9906687402799378,85,186,617,1,290,2H,12.0,491
587344,human,-0.4451750221550741,2.5595986308825838,0.944015444015444,121,316,382,1,293,2H,12.0,589
597849,human,-0.022835903648209976,0.5345707227684903,0.49625668449197863,-146,-235,-1,-1,300,H,24.0,850
