contributor,category,r2,mae,pga,ctd_100,ctd_200,ctd_300,n_activities,frequency,data_points
bors-servo,bot,-0.2963071588768236,1.7253003663528568,0.37727272727272726,-101,-53,-2,297,H,213
bot-gradle,bot,-0.07773893680728095,3.9694924950790336,0.6,1,1,5,298,H,130
carsonbot,bot,-0.04755551362510513,7.135687353656828,0.13636363636363635,-44,-30,-3,296,D,83
cf-gitbot,bot,-1.152844221358479,2.18365613408385,0.7389380530973452,13,74,104,293,H,177
cheminfo-bot,bot,0.011763811797130375,6.293592362017646,0.6756756756756757,-1,-9,-1,286,D,32
cla-bot[bot],bot,-0.01583642738495805,0.9733543426238045,0.6487252124645893,-28,19,-2,299,H,267
cmsdmwmbot,bot,-0.042552649438803325,4.647786192813857,0.22033898305084745,-18,-30,-3,270,D,71
codeclimate[bot],bot,-0.3377999648592671,2.3939555140675086,0.42045454545454547,-33,-48,-3,298,T,58
codesandbox[bot],bot,-1.3098099719337635e+51,2.4539863825914278e+25,0.5076923076923077,16,35,58,300,H,54
confs-tech-bot,bot,-1.295836967039282,11.84173819831213,0.6538461538461539,1,3,8,288,D,33
cozy-bot,bot,-29.72892024912542,8.559411548548969,0.9924812030075187,144,263,455,298,H,318
cypress-bot[bot],bot,-1.1949774743837192,2.4433006799576398,0.8997050147492626,53,150,213,300,H,373
delete-merged-branch[bot],bot,-0.3520888333271668,2.5281591031163706,0.7368421052631579,14,5,46,299,T,89
devOpsHazelcast,bot,-10.805053975958394,7.416101798016442,0.9811320754716981,-13,101,435,297,H,255
dlang-bot,bot,-11.937409409145822,12.720392727180522,0.9148936170212766,6,11,25,297,D,46
docker-library-bot,bot,-0.019755721806222537,3.355611796305965,0.6438356164383562,3,9,11,297,H,161
dontcallmedom-bot,bot,-0.4408584328167018,1.0475453180171634,0.8658536585365854,48,113,168,292,H,479
dotnet-bot,bot,-27.194375185524414,14.743053253217381,0.9775280898876404,10,30,49,286,H,103
dotnet-issue-labeler[bot],bot,-2.1657909318298665,9.476785660259148,0.8461538461538461,-1,2,15,292,D,33
dotnet-maestro-bot,bot,-0.24622138676135696,8.980123940203073,0.8275862068965517,11,13,9,296,D,30
edx-requirements-bot,bot,-1.5054942090526096,4.984139656897988,0.2818181818181818,-13,-31,-1,299,H,88
edx-transifex-bot,bot,0.13506960746567942,0.6393600887754403,0.9293966623876765,115,119,217,295,H,662
elife-bot,bot,-2.6145776857876086,9.151465357203065,0.9704797047970479,146,201,206,295,H,129
engine-flutter-autoroll,bot,-1.777373839928225,3.92406151701729,0.8333333333333334,3,13,41,300,H,113
fire-bot,bot,-0.4876678341936813,6.154378913053806,0.8918918918918919,2,3,11,295,D,81
flinkbot,bot,-0.4708715979424527,2.0012902879396837,0.8026905829596412,69,73,96,296,H,151
fluttergithubbot,bot,-0.057179908826828996,1.8337928392628189,0.13548387096774195,-88,-62,-1,300,H,217
forking-renovate[bot],bot,-0.23269898314741644,1.445133861924952,0.714987714987715,52,142,146,299,H,208
fossabot,bot,0.0032057442877831965,1.25893632432169,0.847457627118644,-39,50,54,297,H,389
garybot2,bot,0.2814792073588167,3.853811293693132,0.5098039215686274,-11,-11,-1,295,D,70
gatsby-cloud[bot],bot,-0.3023372292010138,2.052678555051331,0.33620689655172414,-44,-51,-1,300,H,140
getsentry-bot,bot,-1.2708025325975192,2.6473490266182127,0.8932038834951457,85,110,273,299,H,364
gitguardian[bot],bot,-4.161681206709418,5.50853290567454,0.9354838709677419,3,16,26,296,H,60
gitpod-io[bot],bot,-3.157198862358639,1.1363190972612958,0.2543006731488407,-1174,-554,-1,300,H,282
google-ml-butler[bot],bot,0.09887967842572265,1.1591024061989295,0.39245283018867927,-134,-101,-1,300,H,359
google-oss-bot,bot,0.6829294744832951,2.6350856809816907,0.797752808988764,7,12,19,295,H,120
