contributor,category,r2,mae,pga,ctd_100,ctd_200,ctd_300,n_activities,frequency,data_points
454638,human,-4.299397230943036,16.03199840287534,0.9,6,10,16,264,D,66
455745,human,-6.734538683362568,4.983935745718226,0.07276507276507277,-343,-198,-138,295,H,217
456995,human,-26.649744441447105,24.337138129693702,0.971830985915493,4,27,50,295,D,63
459877,human,-131.14236049114203,58.06885943647512,1.0,14,27,45,299,D,36
465566,human,-0.986485089391762,1.3177597419940013,0.3146067415730337,-407,-121,-8,295,H,272
473965,human,-0.24705590515255582,1.462661253960017,0.46502835538752363,73,103,204,297,H,199
475849,human,0.0039847067098217615,4.768127837866842,0.38461538461538464,-14,-29,-10,272,D,54
483648,human,-2.131248118567657,7.609786113905728,0.0625,-45,-20,-7,293,D,68
487355,human,-0.12505498247707258,8.503540282272917,0.8297872340425532,-8,-6,12,299,D,59
489848,human,-1.3573351358312578,9.777533080559223,0.9024390243902439,4,18,18,293,D,52
535599,human,-1.1108836587440334,6.129729784117703,0.11666666666666667,-47,-25,-2,295,D,54
537443,human,-0.036400916292393504,10.937597772503027,0.5238095238095238,-4,-7,-2,292,D,30
543595,human,-1.3155114866954722,1.94966260602452,0.08663366336633663,-262,-118,-1,300,H,385
549789,human,0.029990836837401336,1.7437606790348579,0.8689655172413793,115,57,3,296,H,670
553976,human,-11.55890383191953,21.33604324365629,0.020833333333333332,-35,-20,-1,299,D,31
